matching_idx,policy_area,subtopic_1,subtopic_2
9559,Economics and Public Finance,Increasing Government Spending Accountability,Antitrust Reform
9560,Economics and Public Finance,Increasing Government Spending Accountability,Government Spending Accountability
9561,Economics and Public Finance,Increasing Government Spending Accountability,Antitrust Enforcement
9562,Economics and Public Finance,Increasing Government Spending Accountability,Government Censorship
9563,Economics and Public Finance,Increasing Government Spending Accountability,FTC and DOJ Authority
9564,Economics and Public Finance,Increasing Government Spending Accountability,Government Spending Accountability
9565,Economics and Public Finance,Increasing Government Spending Accountability,Antitrust Enforcement Reform
9566,Economics and Public Finance,Increasing Government Spending Accountability,Government Overreach
9567,Economics and Public Finance,Increasing Government Spending Accountability,Antitrust Laws
9568,Economics and Public Finance,Increasing Government Spending Accountability,Merger Fee Modernization
9569,Economics and Public Finance,Increasing Government Spending Accountability,Government Spending Accountability
9570,Economics and Public Finance,Increasing Government Spending Accountability,Antitrust Enforcement
9571,Economics and Public Finance,Increasing Government Spending Accountability,Antitrust Reform
9572,Economics and Public Finance,Increasing Government Spending Accountability,Antitrust Enforcement
9573,Economics and Public Finance,Increasing Government Spending Accountability,Consumer Protection Funding
9574,Economics and Public Finance,Increasing Government Spending Accountability,Government Spending Accountability
9575,Economics and Public Finance,Increasing Government Spending Accountability,Government Oversight Oversight
9576,Economics and Public Finance,Increasing Government Spending Accountability,Big Tech Accountability
9577,Economics and Public Finance,Increasing Government Spending Accountability,Antitrust Overreach
9578,Economics and Public Finance,Increasing Government Spending Accountability,Antitrust Authority
9579,Economics and Public Finance,Increasing Government Spending Accountability,Antitrust Enforcement
9580,Economics and Public Finance,Increasing Government Spending Accountability,Antitrust Enforcement Funding
9581,Economics and Public Finance,Increasing Government Spending Accountability,Big Tech Oversight
9582,Economics and Public Finance,Increasing Government Spending Accountability,Antitrust Enforcement
9583,Economics and Public Finance,Increasing Government Spending Accountability,Big Tech Regulation
9584,Economics and Public Finance,Increasing Government Spending Accountability,Concentrated Political Power
9585,Economics and Public Finance,Increasing Government Spending Accountability,Antitrust Enforcement
9586,Economics and Public Finance,Increasing Government Spending Accountability,Government Spending Accountability
9587,Economics and Public Finance,Increasing Government Spending Accountability,Merger Fee Modernization
9588,Economics and Public Finance,Increasing Government Spending Accountability,FTC Oversight
9589,Economics and Public Finance,Increasing Government Spending Accountability,Merger Fee Reform
9590,Foreign Trade and International Finance,Increasing Sanctions on Russia,Infant Formula Tariff Suspension
9591,Foreign Trade and International Finance,Increasing Sanctions on Russia,Baby Formula Supply
9592,Foreign Trade and International Finance,Increasing Sanctions on Russia,Infant Formula Manufacturing Support
9593,Foreign Trade and International Finance,Increasing Sanctions on Russia,Bipartisan Sanctions on Russia
9594,Foreign Trade and International Finance,Increasing Sanctions on Russia,Infant Formula Supply Chains
9595,Foreign Trade and International Finance,Increasing Sanctions on Russia,Nutrition Access
9596,Foreign Trade and International Finance,Increasing Sanctions on Russia,WIC Funding
9597,Foreign Trade and International Finance,Increasing Sanctions on Russia,Infant Formula Supply
9598,Education,Increasing Education Funding,Education Funding
9599,Economics and Public Finance,Expanding Voting Access,Voting Access
9600,Health,Expanding Health Equity Initiatives,Health Equity Initiatives
9601,Economics and Public Finance,Expanding Voting Access,Voting Access
9602,Armed Forces and National Security,Increasing Military Funding,Military Funding
9603,Health,Expanding Health Equity Initiatives,Animal Testing Mandates
9604,Commerce,Expanding Small Business Funding,Small Business Funding Expansion
9605,Law,Misc.,Misc.
9606,Education,Expanding Mental Health Services,Mental Health Services
9607,Transportation and Public Works,Misc.,Misc.
9608,Economics and Public Finance,Increasing Government Spending Accountability,Tourism Expansion
9609,Economics and Public Finance,Capping Insulin Prices,Insulin Cost Sharing
9610,Economics and Public Finance,Increasing Government Spending Accountability,Support for Ukraine Aid
9611,Economics and Public Finance,Increasing Government Spending Accountability,Government Funding Cuts
9612,Economics and Public Finance,Increasing Government Spending Accountability,Government Funding
9613,Economics and Public Finance,Misc.,Misc.
9614,Economics and Public Finance,Increasing Government Spending Accountability,Government Spending Accountability
9615,Economics and Public Finance,Expanding Drug Price Controls,FDA Reforms
9616,Economics and Public Finance,Increasing Government Spending Accountability,Government Funding Cuts
9617,Economics and Public Finance,Increasing Government Spending Accountability,Government Funding Cuts
9618,Economics and Public Finance,Increasing Government Spending Accountability,Government Funding
9619,Economics and Public Finance,Increasing Government Spending Accountability,Government Funding
9620,Economics and Public Finance,Increasing Government Spending Accountability,Tax Enforcement Funding
9621,Economics and Public Finance,Increasing Government Spending Accountability,Tax Enforcement
9622,Economics and Public Finance,Increasing Government Spending Accountability,Government Spending Accountability
9623,Economics and Public Finance,Misc.,Misc.
9624,Economics and Public Finance,Increasing Government Spending Accountability,Government Funding
9625,Economics and Public Finance,Increasing Government Spending Accountability,Victim Funding Accountability
9626,Economics and Public Finance,Increasing Government Spending Accountability,9/11 Compensation Reform
9627,Economics and Public Finance,Increasing Government Spending Accountability,9/11 Compensation Reform
9628,Economics and Public Finance,Increasing Government Spending Accountability,Families' Relief Payments
9629,Economics and Public Finance,Increasing Government Spending Accountability,9/11 Families' Relief
9630,Economics and Public Finance,Misc.,Misc.
9631,Economics and Public Finance,Increasing Government Spending Accountability,9/11 Compensation
9632,Economics and Public Finance,Increasing Government Spending Accountability,9/11 Compensation
9633,Economics and Public Finance,Increasing Government Spending Accountability,9/11 Compensation
9634,Economics and Public Finance,Increasing Government Spending Accountability,9/11 Victim Compensation
9635,Economics and Public Finance,Increasing Government Spending Accountability,9/11 Memorial Support
9636,Economics and Public Finance,Increasing Government Spending Accountability,Government Spending Accountability
9637,Economics and Public Finance,Expanding Voting Access,Voting Access
9638,Taxation,Expanding Tax Incentives Accountability,Maritime Fuel Tax Parity
9639,Crime and Law Enforcement,Law Enforcement Accountability Expansion,D.C. Resident Reentry Services
9640,Armed Forces and National Security,Expanding Veterans' Healthcare Access,Veterans Healthcare Access
9641,Armed Forces and National Security,Expanding Veteran Support Services,Veteran Memorial Naming
9642,Armed Forces and National Security,Expanding Military Recognition Programs,Veterans' Memorial Recognition
9643,Armed Forces and National Security,Increasing Military Funding,Military Funding Increases
9644,Armed Forces and National Security,Expanding Military Recognition Programs,Veterans' Memorial Recognition
9645,Armed Forces and National Security,Enhancing Veterans' Accountability,Veterans' Healthcare Reform
9646,Armed Forces and National Security,Expanding Military Recognition Programs,Military Recognition
9647,Armed Forces and National Security,Expanding Veterans' Healthcare Access,Veterans Healthcare Access
9648,Armed Forces and National Security,Expanding Veterans' Healthcare Access,Veterans' Healthcare Access
9649,Armed Forces and National Security,Expanding Veteran Support Services,Veterans' Affairs Funding
9650,Armed Forces and National Security,Expanding Military Recognition Programs,Veterans' Recognition
9651,Armed Forces and National Security,Expanding Veteran Support Services,Veteran Research Funding
9652,Armed Forces and National Security,Expanding Veteran Support Services,Veteran Research Funding
9653,Armed Forces and National Security,Expanding Veteran Support Services,Veteran Research Funding
9654,Armed Forces and National Security,Military Accountability Measures,Cybersecurity Oversight
9655,Armed Forces and National Security,Military Accountability Measures,Veterans' Cybersecurity
