policy_area,gpt_label,document_index,new_subtopic
Immigration,Border Security and Immigration Reform Debate,1307,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,2260,Border Security Funding Cuts
Immigration,Border Security and Immigration Reform Debate,1308,Immigration Reform Debate
Immigration,Border Security and Immigration Reform Debate,1309,Immigration Reform Debate
Immigration,Border Security and Immigration Reform Debate,1335,Immigration Reform
Immigration,Border Security and Immigration Reform Debate,1311,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,1312,Immigration Reform Opposition
Immigration,Border Security and Immigration Reform Debate,1316,Immigration Reform Opposition
Immigration,Border Security and Immigration Reform Debate,1313,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,1314,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,1342,Border Security Concerns
Immigration,Border Security and Immigration Reform Debate,2229,Border Security Crisis
Immigration,Border Security and Immigration Reform Debate,2345,Border Security Concerns
Immigration,Border Security and Immigration Reform Debate,2376,Border Security Crisis
Immigration,Border Security and Immigration Reform Debate,1315,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,1317,Immigration Reform Debate
Immigration,Border Security and Immigration Reform Debate,1347,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,1318,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,1319,Immigration Reform
Immigration,Border Security and Immigration Reform Debate,1788,Immigration Reform Support
Immigration,Border Security and Immigration Reform Debate,1320,Border Security Concerns
Immigration,Border Security and Immigration Reform Debate,1350,Border Security Debate
Immigration,Border Security and Immigration Reform Debate,1353,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,2285,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,2312,Border Security Issues
Immigration,Border Security and Immigration Reform Debate,2354,Border Security Concerns
Immigration,Border Security and Immigration Reform Debate,2366,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,2385,Border Security and Reform
Immigration,Border Security and Immigration Reform Debate,2395,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,2666,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,2689,Border Security Concerns
Immigration,Border Security and Immigration Reform Debate,1321,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,1322,Border Security Funding Issues
Immigration,Border Security and Immigration Reform Debate,1323,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,1324,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,1326,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,1327,Border Security Budget Cuts
Immigration,Border Security and Immigration Reform Debate,1328,Immigration Reform Opposition
Immigration,Border Security and Immigration Reform Debate,1330,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,1356,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,1331,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,2288,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,2344,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,1332,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,1782,Immigration Reform Debate
Immigration,Border Security and Immigration Reform Debate,1333,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,2361,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,2404,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,1334,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,2255,Border Security Funding
Immigration,Border Security and Immigration Reform Debate,2257,Border Security Funding
Immigration,Border Security and Immigration Reform Debate,2262,Border Security Legislation
Immigration,Border Security and Immigration Reform Debate,2296,Border Security Funding
Immigration,Border Security and Immigration Reform Debate,2364,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,1336,Healthcare Services and NGOs
Immigration,Border Security and Immigration Reform Debate,1337,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,1345,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,1338,Border Security Funding Issues
Immigration,Border Security and Immigration Reform Debate,2310,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,2356,Border Security Funding Issues
Immigration,Border Security and Immigration Reform Debate,2406,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,1339,Immigration Legislation Opposition
Immigration,Border Security and Immigration Reform Debate,1340,Immigration Policy Reform
Immigration,Border Security and Immigration Reform Debate,2305,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,2367,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,1341,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,1343,Border Security Concerns
Immigration,Border Security and Immigration Reform Debate,2338,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,1348,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,1351,Immigration Reform Impact
Immigration,Border Security and Immigration Reform Debate,1352,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,1354,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,1355,Border Security and Fentanyl
Immigration,Border Security and Immigration Reform Debate,2265,Border Security and Fentanyl
Immigration,Border Security and Immigration Reform Debate,2295,Border Security Funding
Immigration,Border Security and Immigration Reform Debate,2297,Border Security and Fentanyl
Immigration,Border Security and Immigration Reform Debate,1357,Border Security Accountability
Immigration,Border Security and Immigration Reform Debate,2284,Border Security Accountability
Immigration,Border Security and Immigration Reform Debate,2319,Border Security Accountability
Immigration,Border Security and Immigration Reform Debate,2321,Border Security Accountability
Immigration,Border Security and Immigration Reform Debate,2342,Border Security Accountability
Immigration,Border Security and Immigration Reform Debate,2355,Border Security and Immigration Reform
Immigration,Border Security and Immigration Reform Debate,2358,Border Security Accountability
Immigration,Border Security and Immigration Reform Debate,2391,Border Security Accountability
Immigration,Border Security and Immigration Reform Debate,1779,Immigration and School Safety
